Year of Period	Month of Period	Unit	Coal	Combust. Renew.	Hydro	Interconnect - Exports	Interconnect - Imports	Natural Gas	Oil	Other	Peat & BM	Pumped Storage - Input	Pumped Storage - Output	Solar Farms	Wastes	Wind
2025	January	GWh	102	13	87	-53	407	1454	39	1	54	-55	36	29	53	1101
2025	February	GWh	58	12	77	-85	444	880	8	1	42	-48	30	40	40	1476
2025	March	GWh	55	14	45	-27	595	1192	28	0	57	-44	30	89	21	1032
2025	April	GWh	125	13	34	-25	496	1141	27	0	41	-44	31	120	39	785
2025	May	GWh	83	13	26	-15	639	1079	34	1	41	-60	42	174	52	612
2025	June	GWh	29	11	22	-25	659	948	2	1	20	-52	34	142	54	817
2025	July	GWh	0	12	19	-45	482	1385	2	1	12	-54	35	159	58	683
2025	August	GWh	0	12	7	-37	579	1196	1	1	45	-52	35	138	51	764
2025	September	GWh	0	11	56	-33	581	986	13	1	43	-54	38	101	55	963
2025	October	GWh	0	12	84	-59	562	1147	17	1	51	-50	34	50	57	1133
2025	November	GWh	0	13	87	-38	572	1293	6	1	43	-54	36	32	49	1107
2025	December	GWh	0	13	97	-39	596	1216	27	1	38	-56	39	19	53	1292
2024	January	GWh	99	13	132	-34	362	1324	28	1	39	-43	28	16	56	1144
2024	February	GWh	86	12	114	-24	360	992	11	1	54	-43	27	20	50	1198
2024	March	GWh	87	14	117	-29	381	1020	6	1	49	-46	30	35	23	1331
2024	April	GWh	83	12	89	-8	441	1072	5	1	52	-43	28	66	39	930
2024	May	GWh	25	12	35	-3	501	1350	25	1	59	-48	32	96	56	559
2024	June	GWh	72	11	15	-6	528	1047	3	1	50	-39	26	114	55	655
2024	July	GWh	127	12	11	-1	548	1166	13	1	31	-45	30	117	52	588
2024	August	GWh	69	12	31	-12	519	964	3	1	1	-45	29	99	56	948
2024	September	GWh	85	11	23	-12	446	1167	49	1	1	-44	29	74	53	795
2024	October	GWh	87	13	48	-29	395	1216	15	1	40	-51	34	54	56	1033
2024	November	GWh	79	13	52	-27	380	1535	20	1	46	-49	32	24	44	888
2024	December	GWh	46	14	92	-25	410	1182	23	1	37	-46	31	16	40	1331
2023	January	GWh	147	13	121	-57	230	1238	11	1	39	-41	25	4	53	1211
2023	February	GWh	81	13	55	-70	188	1155	50	1	40	-41	26	9	38	1106
2023	March	GWh	126	14	82	-56	254	1293	16	1	57	-42	27	15	47	1123
2023	April	GWh	89	14	86	-41	261	1201	1	1	51	-38	24	34	47	933
2023	May	GWh	83	14	40	-33	350	1421	0	1	57	-11	5	64	56	563
2023	June	GWh	100	13	7	-12	325	1358	3	1	54	-37	25	66	44	538
2023	July	GWh	86	14	60	-36	324	1159	0	1	0	-43	28	59	37	877
2023	August	GWh	76	13	89	-35	328	1134	0	1	0	-44	27	55	57	888
2023	September	GWh	120	13	56	-23	364	1119	0	1	8	-42	27	43	53	856
2023	October	GWh	93	14	101	-7	480	1132	21	1	40	-45	30	33	57	836
2023	November	GWh	106	14	115	-32	329	1133	11	1	39	-44	29	20	49	1138
2023	December	GWh	111	14	122	-45	287	903	5	1	32	-44	25	10	57	1539
2022	January	GWh	309	14	95	-142	100	1308	133	1	71	-46	25	0	53	995
2022	February	GWh	243	12	97	-163	104	784	7	1	56	-44	25	0	46	1513
2022	March	GWh	279	14	88	-53	165	1126	183	1	63	-45	26	0	53	933
2022	April	GWh	158	13	32	-22	142	1290	60	1	50	-42	22	0	50	839
2022	May	GWh	126	14	21	-65	130	1331	43	1	58	-15	9	0	53	854
2022	June	GWh	128	13	14	-102	149	1389	41	1	64	-2	0	0	27	726
2022	July	GWh	292	15	17	-133	167	1556	11	1	15	-31	18	0	56	521
2022	August	GWh	256	14	6	-138	119	1637	29	1	47	-38	22	3	54	509
2022	September	GWh	285	13	24	-95	108	1347	36	1	66	-32	20	3	54	643
2022	October	GWh	109	12	93	-148	146	1057	53	1	52	-41	25	3	45	1251
2022	November	GWh	109	13	121	-164	105	1132	30	1	54	-45	28	2	49	1335
2022	December	GWh	226	14	86	-105	146	1404	94	1	56	-45	27	2	51	1030
2021	January	GWh	271	13	131	-97	113	1318	45	2	58	-42	24	0	54	951
2021	February	GWh	90	12	124	-127	131	910	13	1	50	-43	24	0	41	1348
2021	March	GWh	128	13	87	-87	234	1236	30	2	64	-32	18	0	55	962
2021	April	GWh	225	12	44	-27	230	1225	42	1	64	-44	24	0	55	642
2021	May	GWh	247	13	39	-49	348	989	81	2	74	-46	24	0	54	745
2021	June	GWh	220	11	14	-27	208	1193	80	1	68	-42	22	0	25	587
2021	July	GWh	215	12	10	-3	416	1343	136	2	1	-44	23	0	50	296
2021	August	GWh	249	12	36	-42	204	1322	45	2	49	-46	26	0	56	547
2021	September	GWh	274	12	19	-41	197	1208	172	1	71	-41	23	0	52	521
2021	October	GWh	230	11	70	-84	174	1023	184	2	55	-42	24	0	53	956
2021	November	GWh	311	11	71	-102	128	1148	171	1	59	-41	24	0	51	936
2021	December	GWh	321	11	96	-178	68	1079	159	1	69	-44	26	0	56	1226
2020	January	GWh	4	16	104	-129	210	1174	12	2	197	-49	26	0	49	1176
2020	February	GWh	0	16	115	-225	129	951	5	2	160	-46	25	0	45	1498
2020	March	GWh	28	16	125	-138	185	1118	10	2	157	-48	25	0	51	1163
2020	April	GWh	74	16	33	-77	217	1264	7	2	79	-47	26	0	50	574
2020	May	GWh	10	15	9	-168	113	1398	11	2	55	-47	27	0	47	768
2020	June	GWh	83	15	10	-170	104	1367	25	1	56	-44	24	0	35	725
2020	July	GWh	102	16	44	-166	107	1445	21	2	4	-44	25	0	55	762
2020	August	GWh	101	15	69	-135	89	1502	49	2	18	-47	25	0	53	629
2020	September	GWh	89	14	59	-181	140	1382	34	2	57	-44	24	0	54	755
2020	October	GWh	79	15	83	-168	177	1092	19	2	151	-46	23	0	36	1137
2020	November	GWh	90	14	136	-175	147	1137	15	2	181	-29	16	0	41	1060
2020	December	GWh	106	16	136	-180	144	1233	18	2	106	-45	22	0	39	1248
2019	January	GWh	130	17	67	-88	267	1231	20	0	234	-46	21	0	55	791
2019	February	GWh	88	14	87	-142	135	852	5	0	184	-39	19	0	44	1161
2019	March	GWh	61	17	117	-152	202	1088	7	0	205	-42	21	0	35	971
2019	April	GWh	10	16	53	-132	181	1286	16	0	210	-45	24	0	48	790
2019	May	GWh	2	17	21	-106	130	1545	17	0	171	-21	10	0	50	546
2019	June	GWh	62	16	39	-161	103	1371	8	0	143	-21	11	0	50	623
2019	July	GWh	2	15	16	-76	232	1541	9	0	55	-40	20	0	46	492
2019	August	GWh	25	16	56	-93	208	1164	6	0	116	-44	22	0	43	799
2019	September	GWh	41	15	67	-107	198	1136	7	0	165	-43	21	0	38	779
2019	October	GWh	10	16	118	-157	170	1197	17	0	212	-46	25	0	45	950
2019	November	GWh	78	27	112	-154	155	1313	13	3	215	-45	23	0	52	898
2019	December	GWh	70	25	124	-167	198	1090	7	2	195	-46	25	0	41	1168
2018	January	GWh	272	14	142	-174	139	938	0	0	195	-49	25	0	49	1105
2018	February	GWh	374	14	111	-136	156	894	2	0	183	-43	22	0	38	784
2018	March	GWh	466	12	74	-37	88	1068	17	0	165	-47	24	0	40	748
2018	April	GWh	257	14	69	-125	113	1125	0	0	200	-43	20	0	45	705
2018	May	GWh	173	15	31	-140	94	1369	0	0	232	-44	20	0	56	500
2018	June	GWh	156	16	8	-223	112	1601	0	0	157	-28	12	0	49	315
2018	July	GWh	162	16	1	-190	93	1673	1	0	120	-33	14	0	58	336
2018	August	GWh	126	16	18	-158	117	1439	3	0	143	-42	20	0	26	547
2018	September	GWh	122	17	21	-115	174	1169	3	0	186	-44	20	0	48	644
2018	October	GWh	0	16	29	-102	191	1300	7	0	240	-42	19	0	55	725
2018	November	GWh	0	15	57	-147	126	1196	10	0	218	-42	20	0	48	1024
2018	December	GWh	0	16	127	-103	218	1098	10	0	208	-43	20	0	52	1167
2017	January	GWh	520	15	54	-188	55	1203	2	0	234	-47	26	0	12	701
2017	February	GWh	422	13	52	-153	71	908	3	0	206	-43	22	0	9	848
2017	March	GWh	344	15	110	-119	87	1111	1	0	200	-48	24	0	12	774
2017	April	GWh	328	14	34	-83	88	1262	1	0	178	-45	22	0	12	448
2017	May	GWh	335	15	12	-39	45	1223	1	0	198	-48	23	0	6	468
2017	June	GWh	160	14	20	-162	88	1293	1	0	158	-46	23	0	10	579
2017	July	GWh	155	16	13	-210	82	1478	2	0	227	-24	12	0	12	437
2017	August	GWh	131	15	40	-173	89	1421	3	0	221	0	0	0	14	442
2017	September	GWh	218	15	65	-216	59	1258	4	0	177	0	0	0	46	578
2017	October	GWh	186	14	92	-149	146	1161	2	0	156	-7	4	0	46	711
2017	November	GWh	326	14	87	-138	169	1216	2	0	180	-45	22	0	48	614
2017	December	GWh	426	14	107	-164	138	1024	1	0	222	-45	24	0	47	808
2016	January	GWh	431	15	132	-114	112	922	12	0	228	-48	26	0	10	778
2016	February	GWh	397	15	118	-122	101	1014	13	0	223	-44	24	0	11	639
2016	March	GWh	491	16	90	-120	100	1118	3	0	227	-46	24	0	12	522
2016	April	GWh	450	14	65	-113	114	1123	3	0	167	-43	22	0	12	472
2016	May	GWh	306	15	23	-120	134	1293	1	0	208	-44	23	0	3	352
2016	June	GWh	458	14	13	-151	88	1199	3	0	146	-33	17	0	10	312
2016	July	GWh	425	15	27	-210	53	1286	1	0	196	-41	23	0	13	349
2016	August	GWh	221	16	25	-208	75	1317	2	0	238	-47	26	0	13	503
2016	September	GWh	178	14	43	-138	8	1292	3	0	227	-48	27	0	10	536
2016	October	GWh	453	16	40	-101	15	1197	17	0	222	-45	25	0	13	446
2016	November	GWh	462	15	47	-94	20	1263	4	0	226	-45	25	0	12	505
2016	December	GWh	354	14	50	-92	50	1208	4	0	208	-48	27	0	12	703
2015	January	GWh	424	15	116	-86	182	856	1	0	215	-50	27	0	12	785
2015	February	GWh	450	14	77	-62	197	914	8	0	205	-43	23	0	10	483
2015	March	GWh	429	15	94	-80	177	931	3	0	242	-46	25	0	13	594
2015	April	GWh	525	14	58	-76	176	928	3	0	158	-40	19	0	12	377
2015	May	GWh	411	15	72	-83	155	873	0	0	176	-46	24	0	6	589
2015	June	GWh	474	15	22	-74	180	835	0	0	209	-40	21	0	12	401
2015	July	GWh	413	15	23	-95	97	996	1	0	167	-39	22	0	12	490
2015	August	GWh	267	15	39	-86	115	1163	1	0	214	-45	24	0	13	368
2015	September	GWh	356	14	38	-102	90	1104	1	0	240	-39	22	0	12	382
2015	October	GWh	360	15	26	-106	138	1218	1	0	246	-47	25	0	12	388
2015	November	GWh	354	15	98	-114	128	900	4	0	228	-46	25	0	9	752
2015	December	GWh	380	15	134	-115	117	765	10	0	222	-50	28	0	11	927
2014	January	GWh	247	0	110	-43	316	982	6	15	232	-45	25	0	11	579
2014	February	GWh	216	0	100	-32	272	823	1	14	215	-46	26	0	6	619
2014	March	GWh	368	0	89	-65	272	951	2	15	232	-48	27	0	10	483
2014	April	GWh	457	0	53	-67	243	836	1	15	192	-39	19	0	12	364
2014	May	GWh	302	0	41	-55	256	1024	0	15	178	-47	26	0	11	354
2014	June	GWh	284	0	21	-60	233	1126	0	15	156	-22	11	0	10	201
2014	July	GWh	249	0	8	-70	219	1153	2	16	223	-18	10	0	12	234
2014	August	GWh	317	0	27	-50	217	918	0	15	200	-47	26	0	6	407
2014	September	GWh	309	0	11	-53	197	1159	4	14	241	-46	25	0	12	183
2014	October	GWh	324	0	39	-57	221	878	1	15	234	-49	27	0	12	564
2014	November	GWh	429	0	100	-66	213	932	0	15	236	-45	25	0	12	425
2014	December	GWh	432	0	101	-86	194	853	1	15	220	-50	28	0	12	703
2013	January	GWh	453	0	118	-44	183	1054	1	19	199	-52	31	0	11	449
2013	February	GWh	406	0	97	-40	158	983	1	19	182	-46	27	0	10	398
2013	March	GWh	450	0	48	-30	47	1229	8	21	198	-52	31	0	6	432
2013	April	GWh	391	0	44	-42	106	1038	2	20	158	-50	29	0	12	446
2013	May	GWh	272	0	41	-8	349	890	1	20	115	-43	26	0	9	434
2013	June	GWh	372	0	19	-38	273	915	1	19	117	-48	28	0	12	247
2013	July	GWh	452	0	4	-19	273	977	1	17	197	-50	29	0	11	140
2013	August	GWh	274	0	14	-36	304	962	0	18	220	-45	26	0	12	261
2013	September	GWh	285	0	10	-29	196	989	3	16	232	-49	28	0	12	312
2013	October	GWh	232	0	51	-39	281	1037	3	18	241	-51	29	0	10	418
2013	November	GWh	297	0	52	-23	255	1089	6	21	228	-47	27	0	10	336
2013	December	GWh	293	0	75	-34	201	934	4	19	231	-53	30	0	10	657
2012	January	GWh	339	0	100	-115	3	1266	7	15	227	0	0	0	4	537
2012	February	GWh	454	0	80	-54	25	1102	0	15	221	-2	2	0	6	373
2012	March	GWh	412	0	37	-6	88	1150	1	14	210	-12	8	0	11	309
2012	April	GWh	421	0	15	-12	66	1007	0	13	204	-1	0	0	11	362
2012	May	GWh	354	0	22	-18	67	1157	6	11	231	-17	11	0	9	258
