Year of Period,Month of Period,Unit,Source,Supplied
2011,April,TJ,Indigenous,464
2012,April,TJ,Indigenous,621
2013,April,TJ,Indigenous,643
2014,April,TJ,Indigenous,532
2015,April,TJ,Indigenous,450
2016,April,TJ,Indigenous,9083
2017,April,TJ,Indigenous,12418
2018,April,TJ,Indigenous,10474
2019,April,TJ,Indigenous,8736
2020,April,TJ,Indigenous,6971
2021,April,TJ,Indigenous,5487
2022,April,TJ,Indigenous,4700
2023,April,TJ,Indigenous,3845
2024,April,TJ,Indigenous,3559
2025,April,TJ,Indigenous,3025
2010,August,TJ,Indigenous,0
2011,August,TJ,Indigenous,0
2012,August,TJ,Indigenous,0
2013,August,TJ,Indigenous,0
2014,August,TJ,Indigenous,0
2015,August,TJ,Indigenous,288
2016,August,TJ,Indigenous,10874
2017,August,TJ,Indigenous,11832
2018,August,TJ,Indigenous,10481
2019,August,TJ,Indigenous,8384
2020,August,TJ,Indigenous,6216
2021,August,TJ,Indigenous,5217
2022,August,TJ,Indigenous,4498
2023,August,TJ,Indigenous,2680
2024,August,TJ,Indigenous,3479
2025,August,TJ,Indigenous,2956
2010,December,TJ,Indigenous,3136
2011,December,TJ,Indigenous,2621
2012,December,TJ,Indigenous,2233
2013,December,TJ,Indigenous,2005
2014,December,TJ,Indigenous,2763
2015,December,TJ,Indigenous,471
2016,December,TJ,Indigenous,12535
2017,December,TJ,Indigenous,12703
2018,December,TJ,Indigenous,9703
2019,December,TJ,Indigenous,7969
2020,December,TJ,Indigenous,5909
2021,December,TJ,Indigenous,5157
2022,December,TJ,Indigenous,4297
2023,December,TJ,Indigenous,3743
2024,December,TJ,Indigenous,3215
2025,December,TJ,Indigenous,2782
2010,February,TJ,Indigenous,2673
2011,February,TJ,Indigenous,2410
2012,February,TJ,Indigenous,2761
2013,February,TJ,Indigenous,2627
2014,February,TJ,Indigenous,2667
2015,February,TJ,Indigenous,404
2016,February,TJ,Indigenous,6369
2017,February,TJ,Indigenous,11028
2018,February,TJ,Indigenous,11107
2019,February,TJ,Indigenous,8496
2020,February,TJ,Indigenous,6907
2021,February,TJ,Indigenous,5300
2022,February,TJ,Indigenous,4389
2023,February,TJ,Indigenous,3737
2024,February,TJ,Indigenous,3301
2025,February,TJ,Indigenous,2909
2010,January,TJ,Indigenous,2981
2011,January,TJ,Indigenous,2608
2012,January,TJ,Indigenous,3176
2013,January,TJ,Indigenous,2722
2014,January,TJ,Indigenous,2646
2015,January,TJ,Indigenous,495
2016,January,TJ,Indigenous,6368
2017,January,TJ,Indigenous,12527
2018,January,TJ,Indigenous,12602
2019,January,TJ,Indigenous,9483
2020,January,TJ,Indigenous,7676
2021,January,TJ,Indigenous,5449
2022,January,TJ,Indigenous,5132
2023,January,TJ,Indigenous,4176
2024,January,TJ,Indigenous,3548
2025,January,TJ,Indigenous,3113
2010,July,TJ,Indigenous,0
2011,July,TJ,Indigenous,10
2012,July,TJ,Indigenous,8
2013,July,TJ,Indigenous,0
2014,July,TJ,Indigenous,0
2015,July,TJ,Indigenous,340
2016,July,TJ,Indigenous,10891
2017,July,TJ,Indigenous,11965
2018,July,TJ,Indigenous,10789
2019,July,TJ,Indigenous,8432
2020,July,TJ,Indigenous,6392
2021,July,TJ,Indigenous,1121
2022,July,TJ,Indigenous,4022
2023,July,TJ,Indigenous,1969
2024,July,TJ,Indigenous,3588
2025,July,TJ,Indigenous,2951
2010,June,TJ,Indigenous,0
2011,June,TJ,Indigenous,27
2012,June,TJ,Indigenous,44
2013,June,TJ,Indigenous,39
2014,June,TJ,Indigenous,0
2015,June,TJ,Indigenous,371
2016,June,TJ,Indigenous,8468
2017,June,TJ,Indigenous,11593
2018,June,TJ,Indigenous,10936
2019,June,TJ,Indigenous,8387
2020,June,TJ,Indigenous,6535
2021,June,TJ,Indigenous,4584
2022,June,TJ,Indigenous,4471
2023,June,TJ,Indigenous,3832
2024,June,TJ,Indigenous,2866
2025,June,TJ,Indigenous,2243
2010,March,TJ,Indigenous,1984
2011,March,TJ,Indigenous,2004
2012,March,TJ,Indigenous,1885
2013,March,TJ,Indigenous,2618
2014,March,TJ,Indigenous,1813
2015,March,TJ,Indigenous,485
2016,March,TJ,Indigenous,6972
2017,March,TJ,Indigenous,11767
2018,March,TJ,Indigenous,11880
2019,March,TJ,Indigenous,9351
2020,March,TJ,Indigenous,7361
2021,March,TJ,Indigenous,5769
2022,March,TJ,Indigenous,4929
2023,March,TJ,Indigenous,4102
2024,March,TJ,Indigenous,3650
2025,March,TJ,Indigenous,3127
2010,May,TJ,Indigenous,213
2011,May,TJ,Indigenous,0
2012,May,TJ,Indigenous,106
2013,May,TJ,Indigenous,48
2014,May,TJ,Indigenous,0
2015,May,TJ,Indigenous,450
2016,May,TJ,Indigenous,8685
2017,May,TJ,Indigenous,12480
2018,May,TJ,Indigenous,10690
2019,May,TJ,Indigenous,8639
2020,May,TJ,Indigenous,6556
2021,May,TJ,Indigenous,4879
2022,May,TJ,Indigenous,4615
2023,May,TJ,Indigenous,4045
2024,May,TJ,Indigenous,3619
2025,May,TJ,Indigenous,3075
2010,November,TJ,Indigenous,1560
2011,November,TJ,Indigenous,2090
2012,November,TJ,Indigenous,2330
2013,November,TJ,Indigenous,1914
2014,November,TJ,Indigenous,2335
2015,November,TJ,Indigenous,446
2016,November,TJ,Indigenous,12137
2017,November,TJ,Indigenous,12154
2018,November,TJ,Indigenous,9605
2019,November,TJ,Indigenous,7870
2020,November,TJ,Indigenous,5697
2021,November,TJ,Indigenous,5089
2022,November,TJ,Indigenous,4259
2023,November,TJ,Indigenous,3662
2024,November,TJ,Indigenous,3238
2025,November,TJ,Indigenous,2761
2010,October,TJ,Indigenous,1116
2011,October,TJ,Indigenous,761
2012,October,TJ,Indigenous,888
2013,October,TJ,Indigenous,260
2014,October,TJ,Indigenous,541
2015,October,TJ,Indigenous,444
