"Statistic Label","Year","Sector of Activity","Size of Enterprise","UNIT","VALUE"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","615"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","545"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","1985"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","14778"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","17923"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","241"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","190"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","6029"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","46510"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","52971"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","549"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","1329"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","8161"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","19114"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","29152"
"Value of Exports","2017","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","2415"
"Value of Exports","2017","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","2657"
"Value of Exports","2017","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","1822"
"Value of Exports","2017","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","2302"
"Value of Exports","2017","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Exports","2017","Wholesale and Retail (45-47)","All Enterprises","Euro Million","9196"
"Value of Exports","2017","Services/other (49-98)","Micro (0 to 9)","Euro Million","3658"
"Value of Exports","2017","Services/other (49-98)","Small (10 to 49)","Euro Million","579"
"Value of Exports","2017","Services/other (49-98)","Medium (50 to 249)","Euro Million","5166"
"Value of Exports","2017","Services/other (49-98)","Large (250 or more)","Euro Million","278"
"Value of Exports","2017","Services/other (49-98)","Unknown","Euro Million",""
"Value of Exports","2017","Services/other (49-98)","All Enterprises","Euro Million","9681"
"Value of Exports","2017","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Exports","2017","Unknown","Small (10 to 49)","Euro Million",""
"Value of Exports","2017","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Exports","2017","Unknown","Large (250 or more)","Euro Million",""
"Value of Exports","2017","Unknown","Unknown","Euro Million","2837"
"Value of Exports","2017","Unknown","All Enterprises","Euro Million","2837"
"Value of Exports","2017","All sectors","Micro (0 to 9)","Euro Million","7478"
"Value of Exports","2017","All sectors","Small (10 to 49)","Euro Million","5300"
"Value of Exports","2017","All sectors","Medium (50 to 249)","Euro Million","23162"
"Value of Exports","2017","All sectors","Large (250 or more)","Euro Million","82983"
"Value of Exports","2017","All sectors","Unknown","Euro Million","2837"
"Value of Exports","2017","All sectors","All Enterprises","Euro Million","121759"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","399"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","562"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","1906"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","14887"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","17754"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","87"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","182"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","10623"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","58546"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
