"Statistic Label","Month","Industry Sector NACE Rev 2","UNIT","VALUE"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Food products (10)","Base Year 2021=100","99.04693461"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Textiles (13)","Base Year 2021=100","98.44185925"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Wearing apparel (14)","Base Year 2021=100","99.77152321"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Wood and wood products, except furniture (16)","Base Year 2021=100","94.3044976"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Paper and paper products (17)","Base Year 2021=100","99.03718867"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Chemicals and chemical products (20)","Base Year 2021=100","92.43424718"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Rubber and plastic products (22)","Base Year 2021=100","98.65077385"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Other non-metallic mineral products (23)","Base Year 2021=100","97.44339365"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Basic metals (24)","Base Year 2021=100","86.62810348"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","89.1222729"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Electrical equipment (27)","Base Year 2021=100","98.61445874"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Furniture (31)","Base Year 2021=100","99.73772773"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 January","Mining and quarrying (05 to 09)","Base Year 2021=100","99.54998611"
"Domestic Industrial Price Index (Excl VAT)","2021 January","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Food products (10)","Base Year 2021=100","99.26772457"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Textiles (13)","Base Year 2021=100","98.44185925"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Wearing apparel (14)","Base Year 2021=100","99.77152321"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Wood and wood products, except furniture (16)","Base Year 2021=100","94.33969073"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Paper and paper products (17)","Base Year 2021=100","99.38006732"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Chemicals and chemical products (20)","Base Year 2021=100","92.45576199"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Rubber and plastic products (22)","Base Year 2021=100","99.09518459"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Other non-metallic mineral products (23)","Base Year 2021=100","97.58944434"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Basic metals (24)","Base Year 2021=100","87.50675588"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","99.11012549"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Electrical equipment (27)","Base Year 2021=100","98.78746555"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Furniture (31)","Base Year 2021=100","100.205984"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 February","Mining and quarrying (05 to 09)","Base Year 2021=100","99.55198286"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Food products (10)","Base Year 2021=100","99.5259559"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Textiles (13)","Base Year 2021=100","98.44185925"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Wearing apparel (14)","Base Year 2021=100","99.77152321"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Wood and wood products, except furniture (16)","Base Year 2021=100","94.3803978"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Paper and paper products (17)","Base Year 2021=100","98.67935307"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Chemicals and chemical products (20)","Base Year 2021=100","97.0245024"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Rubber and plastic products (22)","Base Year 2021=100","99.16218946"
